cannot import cuda implementation for inference, fallback to pytorch.
警告: 以下QP值超出安全范围 [0, 71]，将被跳过: [75, 80]
将测试以下QP值: [20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70]

================================================================================
开始多QP测试
================================================================================


================================================================================
测试 QP = 20
================================================================================

QP=25 | Frame 72: Weighted PSNR: 33.336 dB | Y: 31.612 | U: 38.832 | V: 38.190 | Bpp: 0.0107
QP=25 | Frame 73: Weighted PSNR: 33.670 dB | Y: 31.955 | U: 39.000 | V: 38.625 | Bpp: 0.0348
QP=25 | Frame 74: Weighted PSNR: 33.059 dB | Y: 31.268 | U: 38.779 | V: 38.088 | Bpp: 0.0140
QP=25 | Frame 75: Weighted PSNR: 33.080 dB | Y: 31.195 | U: 38.918 | V: 38.554 | Bpp: 0.0334
QP=25 | Frame 76: Weighted PSNR: 32.109 dB | Y: 30.059 | U: 38.859 | V: 37.658 | Bpp: 0.0150
QP=25 | Frame 77: Weighted PSNR: 32.761 dB | Y: 30.802 | U: 39.303 | V: 37.974 | Bpp: 0.0456
QP=25 | Frame 78: Weighted PSNR: 32.026 dB | Y: 29.938 | U: 39.298 | V: 37.287 | Bpp: 0.0141
QP=25 | Frame 79: Weighted PSNR: 32.279 dB | Y: 30.228 | U: 39.367 | V: 37.492 | Bpp: 0.0328
QP=25 | Frame 80: Weighted PSNR: 31.833 dB | Y: 29.737 | U: 39.208 | V: 37.037 | Bpp: 0.0139
QP=25 | Frame 81: Weighted PSNR: 32.536 dB | Y: 30.542 | U: 39.413 | V: 37.623 | Bpp: 0.0409
QP=25 | Frame 82: Weighted PSNR: 31.972 dB | Y: 29.884 | U: 39.128 | V: 37.342 | Bpp: 0.0122
QP=25 | Frame 83: Weighted PSNR: 32.210 dB | Y: 30.151 | U: 39.272 | V: 37.498 | Bpp: 0.0269
QP=25 | Frame 84: Weighted PSNR: 31.773 dB | Y: 29.653 | U: 39.080 | V: 37.188 | Bpp: 0.0137
QP=25 | Frame 85: Weighted PSNR: 32.421 dB | Y: 30.350 | U: 39.644 | V: 37.626 | Bpp: 0.0328
QP=25 | Frame 86: Weighted PSNR: 31.938 dB | Y: 29.869 | U: 39.253 | V: 37.036 | Bpp: 0.0121
